timestamp,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y
1.3013,0.53262538,0.70145306,0.54401177,0.7378749,0.51212972,0.73382804,0.55995274,0.7459686400000001,0.4802478,0.73382804,0.58044833,0.6124220499999999,0.44153395,0.6124220499999999,0.60322112,0.38984441999999997,0.41876107,0.3817507,0.58272558,0.51934406,0.47797051,0.52743781,0.55312091,0.19964176,0.45292038,0.20368862,,,,
1.4014,0.5517267,0.70026013,0.56310326,0.73665005,0.53124917,0.7326068,0.57675493,0.7406934199999999,0.49484444,0.72856343,0.58585614,0.61130705,0.44933859,0.61130705,0.60633379,0.3970108,0.41065866,0.39296752,0.58813137,0.53448385,0.48574331,0.51426724,0.54945147,0.21101791000000003,0.45388919,0.21101791000000003,,,,
1.5015,0.56474942,0.6844469,0.57589132,0.72008657,0.54469395,0.71612665,0.59148997,0.72008657,0.50903976,0.71612665,0.59594667,0.59336773,0.46224374,0.59732774,0.61823052,0.38744962000000005,0.41767609,0.37952982999999996,0.59817511,0.53396836,0.50012624,0.49040866000000005,0.55583578,0.19737148000000004,0.46001539,0.20133144000000003,,,,
1.6016,0.57401586,0.6708191,0.58502775,0.7060426799999999,0.55419463,0.70212895,0.59824204,0.7060426799999999,0.51675439,0.70212895,0.6048491,0.58471695,0.47050464,0.5886306800000001,0.62467039,0.37337536000000004,0.42865962,0.36946159999999995,0.6048491,0.51035604,0.514552,0.45947748,0.55639702,0.19334357999999996,0.46169513,0.19725727999999998,,,,
1.7017,0.57054907,0.63012031,0.58332533,0.66796067,0.55138463,0.66417664,0.60036033,0.67552868,0.51731455,0.67174467,0.60674852,0.5657918200000001,0.47259757,0.55822375,0.62804228,0.33874994999999997,0.43000996,0.33496588000000005,0.60887796,0.46740693,0.51518518,0.41443061999999997,0.55351394,0.18738871999999995,0.4555625,0.19117278000000004,0.5961017,-0.0018126999999998894,,
1.8018,0.54485035,0.59222826,0.56101698,0.6281396699999999,0.5286836,0.63173079,0.5812254,0.63891309,0.49837112,0.63891309,0.59941286,0.5275878,0.45795444,0.53117892,0.61962122,0.30134612000000005,0.42360026,0.30493729999999997,0.60143369,0.39830685,0.49635029,0.39830685,0.5509128,0.16847396000000003,0.45189193,0.17206520000000003,,,,
1.9019,0.51365125,0.59906244,0.53198236,0.63525736,0.49735689,0.63525736,0.55235022,0.64249632,0.47087863,0.64611581,0.58086526,0.52667263,0.43625325,0.53753111,0.60326993,0.29140568,0.40977496,0.30588359,0.58493882,0.36379545999999996,0.47087863,0.44342434,0.54623985,0.15748452999999996,0.44236362,0.16472346000000004,,,,
2.002,0.49122134,0.64009845,0.50837398,0.67438975,0.47406873,0.67438975,0.52981472,0.67819995,0.44833988,0.67819995,0.56411999,0.55246505,0.42046684,0.5715158,0.58341676,0.32004601,0.39044973,0.34290688999999996,0.5598318,0.38862878,0.44619575,0.49531287,0.53410298,0.17907052999999995,0.43118721,0.17907052999999995,,,,
2.1021,0.47949547,0.6628806,0.49730173,0.6984787,0.46391499,0.69452336,0.51955956,0.70243403,0.43720564,0.6984787,0.55517209,0.57586309,0.41049621,0.59168446,0.57297826,0.33854258000000004,0.37710947,0.36623001,0.54181737,0.44533688000000005,0.4349798,0.52444369,0.53068846,0.18428420999999995,0.42607671,0.18823963,,,,
2.2022,0.47794303,0.65863204,0.49338332,0.6939097599999999,0.46029708,0.6899900400000001,0.51544082,0.70174927,0.433828,0.6939097599999999,0.55073285,0.57239762,0.407359,0.58023706,0.57279038,0.3372128,0.37647849,0.35681158,0.53749835,0.45872492,0.43162224,0.50576189,0.52867538,0.17258346000000002,0.42500502,0.17258346000000002,,,,
2.3023,0.48492947,0.66729957,0.50055879,0.70300931,0.46706733,0.69904158,0.52065361,0.70697704,0.44027418,0.70300931,0.55191237,0.58397689,0.40678272,0.58397689,0.57423997,0.3538475,0.37998959,0.3538475,0.53405017,0.48081547,0.43580863,0.47684759,0.52958477,0.17926651000000005,0.42687759,0.17926651000000005,,,,
2.4024,0.50443625,0.67654762,0.51792252,0.71249634,0.48645461,0.7085020200000001,0.53590411,0.72048488,0.45498672,0.71249634,0.56062883,0.59666166,0.41677576,0.5886730600000001,0.58085817,0.3769753,0.38081256,0.36499238,0.54489493,0.5207699800000001,0.44599593,0.46484983,0.53140867,0.19723188999999997,0.43250975,0.19723188999999997,,,,
2.5025,0.52554852,0.67120951,0.53874052,0.7024667600000001,0.50795919,0.7024667600000001,0.55413127,0.7024667600000001,0.47497919,0.69855961,0.57172048,0.5852520800000001,0.43320453,0.5813448999999999,0.5937072,0.37817276,0.39142984,0.35472977000000006,0.56072724,0.53836617,0.46398586,0.45631588,0.53874052,0.20235068,0.44419786,0.19844353000000003,,,,
2.6026,0.54285079,0.6613855399999999,0.55574596,0.69575873,0.5256573,0.6919394999999999,0.57079035,0.69575873,0.4912701,0.6919394999999999,0.58153635,0.57736218,0.44613698,0.56972367,0.60517752,0.37112308000000005,0.40960068,0.35202676,0.57508868,0.5200735000000001,0.48482254,0.44750798,0.54929841,0.19543785000000002,0.45473382,0.19161861999999996,,,,
2.7027,0.54829401,0.66788435,0.56137329,0.7027479999999999,0.53085512,0.7027479999999999,0.5766322,0.7027479999999999,0.4981572,0.69887424,0.58971137,0.58266214,0.45238015,0.57491469,0.60933012,0.37348032,0.42186213,0.35798556000000004,0.58317178,0.51680863,0.49379748,0.45870261999999995,0.55483359,0.19916224000000005,0.4589197,0.19916224000000005,,,,
2.8028,0.53746283,0.68623731,0.55071348,0.7215581200000001,0.51979524,0.71763358,0.56838113,0.72548267,0.48887703,0.71763358,0.58825707,0.5920484699999999,0.45133346,0.5959730400000001,0.61254996,0.38012367,0.42041525,0.37227469999999996,0.58604866,0.5057087499999999,0.48887703,0.49001061999999995,0.55292195,0.19567060000000003,0.45575038,0.19959521000000002,,,,
